,Name,Price,Year,Make,Model,Body Type
508,bmw z4,55775,2013,bmw,z4,convertible
509,bmw 2 series,32100,2014,bmw,2 series,convertible
510,bmw 3 series,37300,2014,bmw,3 series,wagon
511,bmw 4 series,48000,2014,bmw,4 series,convertible
512,bmw 5 series,58900,2014,bmw,5 series,sedan
513,bmw 6 series,79150,2014,bmw,6 series,hatchback
514,bmw 7 series,78000,2014,bmw,7 series,sedan
515,bmw m5,92900,2014,bmw,m5,sedan
516,bmw m6,114350,2014,bmw,m6,coupe
517,bmw m6 gran coupe,115000,2014,bmw,m6 gran coupe,sedan
518,bmw x1,34850,2014,bmw,x1,sport utility
519,bmw x3,42350,2014,bmw,x3,sport utility
520,bmw x5,60500,2014,bmw,x5,sport utility
521,bmw x6,66100,2014,bmw,x6,sport utility
522,bmw x6 m,93900,2014,bmw,x6 m,sport utility
523,bmw z4,57375,2014,bmw,z4,convertible
524,bmw i3,43275,2014,bmw,i3,hatchback
525,bmw i8,135700,2014,bmw,i8,convertible
526,bmw 2 series,35000,2015,bmw,2 series,convertible
527,bmw 3 series,40725,2015,bmw,3 series,wagon
528,bmw 4 series,46750,2015,bmw,4 series,convertible
529,bmw 5 series,61900,2015,bmw,5 series,sedan
530,bmw 6 series,117300,2015,bmw,6 series,hatchback
531,bmw 7 series,141200,2015,bmw,7 series,sedan
532,bmw m3,62000,2015,bmw,m3,sedan
533,bmw m4,68350,2015,bmw,m4,convertible
534,bmw m5,93600,2015,bmw,m5,sedan
535,bmw m6,115050,2015,bmw,m6,coupe
536,bmw m6 gran coupe,115700,2015,bmw,m6 gran coupe,sedan
